"10080",1511.1492956279073,-284857.73513768736,45.101913875623154,"FLO"
"10079",1509.981552922462,-284858.6844656169,45.11898357740895,CC"
"10078",1506.1869979436074,-284862.0169441717,45.244734654497904,CC"
"10077",1509.3519811590684,-284865.4293517769,45.4343881221478,CC"
"10076",1497.0150961317586,-284876.4016039274,45.71652020436145,CC"
"10075",1484.8287257717923,-284887.22742686473,45.91278582923917,10"
"10074",1471.5921083211113,-284885.51832047733,44.32913585043385,"COTA"
"10073",1476.4172495434123,-284890.3665969659,44.58647917060138,"COTA"
"10072",1477.0110985871552,-284893.737155803,44.330228236220584,I"
"10071",1480.2100880746993,-284895.1562321944,44.78640143080108,I"
"10070",1484.4774828999707,-284897.7441080476,45.17092658622683,I"
"10069",1476.3724608191706,-284894.23440601595,43.538446307024785,I"
"10068",1476.3751920725301,-284894.20965059963,43.54716006218959,I"
"10067",1479.1465111607674,-284895.54228291137,44.09131340793538,I"
"10066",1481.9263147991117,-284897.0400011794,44.65699822933902,I"
"10065",1484.2498004767504,-284898.4464328362,45.0349431963033,I"
"10064",1476.7272502703063,-284910.6575705559,44.67417930223069,"CASASC"
"10063",1477.5169208281732,-284909.6621301249,44.682565795131715,"CASASC"
"10062",1477.4716898281863,-284909.3754390847,44.67658783261911,"CASASC"
"10061",1477.4674170552996,-284908.8058707931,44.664940536438344,"CASASC"
"10060",1477.5404965658415,-284908.26810483955,44.65878795687975,"CASASC"
"10059",1476.5396084394413,-284909.7706151869,44.6606510383991,"CASASC"
"10058",1475.844801463564,-284909.894258365,44.666623090292305,"CASASC"
"10057",1475.5232461717032,-284909.640791174,44.66461460170235,"CASASC"
"10056",1474.9480714288172,-284909.4622135117,44.66065676882599,"CASASC"
"10055",1475.805288653979,-284909.09955435386,42.91470792410431,"ARMAG"
"10054",1476.3395280719885,-284909.0123427265,42.95957723093524,"ARMAG"
"10053",1484.4815522676552,-284866.0299482311,45.338117620643025,"COTA"
"10052",1480.1084250561323,-284859.6125648641,45.019317811309406,"COTA"
"10051",1477.6170337381043,-284852.1345459733,44.361163698765964,CC"
"10050",1478.6655826805281,-284853.4556123684,44.54159233529118,CC"
