"10103",1518.9833974158141,-284895.3038305027,46.1435426990238,"PIN"
"10102",1508.703941434856,-284887.8164385908,46.11712678255188,"PIN"
"10101",1508.7312010765372,-284887.42203879723,46.08329513554268,"PIN"
"10100",1508.3783510005246,-284887.4193881473,46.067754712888416,"PIN"
"10099",1506.3593576576257,-284879.9021419255,45.750424508487605,"COTA"
"10098",1504.686539794353,-284872.95437814586,45.82759936190774,"PIN"
"10097",1504.274254140215,-284872.9017361573,45.762758997386236,"PIN"
"10096",1504.3502748957667,-284872.48843040207,45.66594927338606,"PIN"
"10095",1504.3504729231367,-284872.4878975484,45.666458896566226,"PIN"
"10094",1503.1380205559362,-284871.8311288147,45.61633984824912,"CANDSC"
"10093",1504.7073475850345,-284870.48338237096,45.496189947455655,"REGA"
"10092",1504.9090966183503,-284870.32876924926,45.52966267612554,"REGA"
"10091",1505.134709491543,-284870.63918294373,45.52891956234477,"REGA"
"10090",1506.5816659924142,-284868.62271255255,45.46592169574049,"CANDSC"
"10089",1507.936670056199,-284856.5582123037,45.081027120697634,CC"
"10088",1509.7642315365981,-284858.48044359294,45.12241056125547,CC"
"10087",1509.7637812473608,-284858.47966654843,45.12267974771248,CC"
"10086",1511.4053234281782,-284855.212911271,45.41918459694021,"SOL"
"10085",1510.720184914419,-284855.9387530365,45.27083877723161,"SOL"
"10084",1509.432200113908,-284855.97430805094,45.080784515458426,"FLO"
"10083",1510.1811571189994,-284855.309190566,45.273384859358096,"FLO"
"10082",1511.2355601547108,-284856.4416994116,45.27449726037464,"FLO"
"10081",1510.478582781561,-284857.1087494075,45.11434769161476,"FLO"
"10080",1511.1114237997463,-284857.8434307303,45.101913875623154,"FLO"
"10079",1509.9431584034933,-284858.7920064875,45.11898357740895,CC"
"10078",1506.146401909146,-284862.12106397527,45.244734654497904,CC"
"10077",1509.3079495572536,-284865.5267208256,45.4343881221478,CC"
"10076",1496.9857648946902,-284876.4635591738,45.71652020436145,CC"
"10075",1484.8177664943803,-284887.2858522428,45.91278582923917,10"
"10074",1471.6104967780923,-284885.5759635407,44.32913585043385,"COTA"
"10073",1476.4324143833308,-284890.4120691224,44.58647917060138,"COTA"
"10072",1477.020201957886,-284893.77435020555,44.330228236220584,I"
"10071",1480.2109764585239,-284895.18799625256,44.78640143080108,I"
"10070",1484.463766557717,-284897.77342673985,45.17092658622683,I"
"10069",1476.3814327614728,-284894.2714283898,43.538446307024785,I"
"10068",1476.3842019715564,-284894.2467095266,43.54716006218959,I"
"10067",1479.1490388482225,-284895.5747982631,44.09131340793538,I"
"10066",1481.9201387298,-284897.06959952984,44.65699822933902,I"
"10065",1484.2363722469254,-284898.47569364216,45.0349431963033,I"
"10064",1476.7175941126643,-284910.6857608065,44.67417930223069,"CASASC"
"10063",1477.5071198853755,-284909.6904308222,44.682565795131715,"CASASC"
"10062",1477.4621448212918,-284909.4037752811,44.67658783261911,"CASASC"
"10061",1477.4582924613198,-284908.8342801157,44.664940536438344,"CASASC"
"10060",1477.5316883904884,-284908.29658393963,44.65878795687975,"CASASC"
"10059",1476.530794103471,-284909.7989298229,44.6606510383991,"CASASC"
"10058",1475.8366228860293,-284909.9225897899,44.666623090292305,"CASASC"
"10057",1475.5155914696136,-284909.6691870612,44.66461460170235,"CASASC"
"10056",1474.941137319719,-284909.49069157813,44.66065676882599,"CASASC"
"10055",1475.797762586351,-284909.1280237725,42.91470792410431,"ARMAG"
"10054",1476.3315008143832,-284909.04078538227,42.95957723093524,"ARMAG"
"10053",1484.4784247066698,-284866.11725288484,45.338117620643025,"COTA"
"10052",1480.111951602132,-284859.6979396345,45.019317811309406,"COTA"
"10051",1477.62412891618,-284852.2188727034,44.361163698765964,CC"
"10050",1478.6715847696116,-284853.5404267079,44.54159233529118,CC"
"10049",1479.8067581929686,-284854.14586361067,44.664807697553385,CC"
"10048",1481.239355020522,-284854.15698733163,44.81438172846384,CC"
"10047",1482.3590701041612,-284853.7989719222,44.901500824639875,CC"
"10046",1483.7946307070388,-284852.127002538,44.92622730814431,CC"
"10045",1483.794488149016,-284852.1280012871,44.92658394544245,CC"
"10044",1487.845177310344,-284841.7073359149,44.692580599203836,"VALETA"
"10043",1486.7695043306608,-284842.2814607739,44.69536543008989,"VALETA"
"10042",1485.0410051775752,-284843.8648341079,44.727881433824955,"VALETA"
"10041",1483.8092555129926,-284845.98849031737,44.774823761950124,"VALETA"
"10040",1483.2482960194936,-284848.5955540578,44.859032772020775,"VALETA"
